;Links  t_mean (us)     % found
2000    2               0.050000
3000    4               0.110000
4000    7               0.180000
5000    9               0.280000
6000    12              0.370000
7000    15              0.450000
8000    19              0.530000
9000    21              0.620000
10000   23              0.700000
11000   33              0.590000
12000   34              0.700000
13000   36              0.770000
14000   34              0.850000
15000   33              0.910000
16000   37              0.930000
17000   40              0.930000
18000   40              0.970000
19000   41              0.970000
20000   44              0.970000
